Documents,malware,Spam
Documents,malware,Unknown
Documents,malware,Packet sniffer
Documents,malware,Backdoor
Documents,malware,Exploit vuln
Documents,malware,Other
Documents,malware,Password dumper
Documents,malware,Scan network
Documents,malware,Downloader
Documents,malware,Adminware
Documents,malware,Click fraud
Documents,malware,Adware
Documents,malware,C2
Documents,malware,Worm
Documents,malware,Spyware/Keylogger
Documents,malware,Brute force
Documents,malware,Capture app data
Documents,malware,DoS
Documents,malware,Disable controls
Documents,malware,Capture stored data
Documents,malware,Ransomware
Documents,malware,Export data
Documents,malware,Client-side attack
Documents,malware,Rootkit
Documents,malware,Destroy data
Documents,malware,Ram scraper
Documents,error,Loss
Documents,error,Omission
Documents,error,Disposal error
Documents,error,Unknown
Documents,error,Misdelivery
Documents,error,Misinformation
Documents,error,Physical accidents
Documents,error,Publishing error
Documents,error,Malfunction
Documents,error,Capacity shortage
Documents,error,Other
Documents,error,Programming error
Documents,error,Data entry error
Documents,error,Gaffe
Documents,error,Misconfiguration
Documents,error,Maintenance error
Documents,error,Classification error
Documents,environmental,Fire
Documents,environmental,Unknown
Documents,environmental,Power failure
Documents,environmental,Humidity
Documents,social,Scam
Documents,social,Spam
Documents,social,Phishing
Documents,social,Unknown
Documents,social,Influence
Documents,social,Propaganda
Documents,social,Forgery
Documents,social,Bribery
Documents,social,Other
Documents,social,Pretexting
Documents,social,Extortion
Documents,social,Elicitation
Documents,social,Baiting
Documents,misuse,Unapproved software
Documents,misuse,Illicit content
Documents,misuse,Unapproved workaround
Documents,misuse,Unapproved hardware
Documents,misuse,Unknown
Documents,misuse,Email misuse
Documents,misuse,Possession abuse
Documents,misuse,Other
Documents,misuse,Net misuse
Documents,misuse,Data mishandling
Documents,misuse,Privilege abuse
Documents,misuse,Knowledge abuse
Documents,hacking,XSS
Documents,hacking,Unknown
Documents,hacking,Buffer overflow
Documents,hacking,SSI injection
Documents,hacking,MitM
Documents,hacking,Path traversal
Documents,hacking,URL redirector abuse
Documents,hacking,Use of backdoor or C2
Documents,hacking,Mail command injection
Documents,hacking,OS commanding
Documents,hacking,Footprinting
Documents,hacking,Cryptanalysis
Documents,hacking,SQLi
Documents,hacking,Abuse of functionality
Documents,hacking,Forced browsing
Documents,hacking,Reverse engineering
Documents,hacking,Brute force
Documents,hacking,RFI
Documents,hacking,Session fixation
Documents,hacking,Session prediction
Documents,hacking,Use of stolen creds
Documents,hacking,Other
Documents,hacking,DoS
Documents,hacking,Session replay
Documents,physical,Skimmer
Documents,physical,Bypassed controls
Documents,physical,Snooping
Documents,physical,Tampering
Documents,physical,Unknown
Documents,physical,Connection
Documents,physical,Surveillance
Documents,physical,Assault
Documents,physical,Other
Documents,physical,Wiretapping
Documents,physical,Theft
Documents,physical,Destruction
Documents,physical,Disabled controls
WLAN,malware,Spam
WLAN,malware,Unknown
WLAN,malware,Packet sniffer
WLAN,malware,Backdoor
